artist,title,mood,original_mood,lyrics
George Michael,I Want Your Sex,1,happy,"There's things that you guess
And things that you know
There's boys that you can trust
And girls that you don't
There's little things you hide
And little things that you show
Sometimes you think you're gonna get it
But you don't and that's just the way it goes

I swear I won't tease you won't tell you no lies

Yeah
I don't need no bible just look in my eyes

I've waited so long baby now that we're friends

Every man's got his patience and here's where mine ends

I want your sex
I want your love
I want your sex
I want your sex

It's playing on my mind
It's dancing on my soul
It's taken so much time
So why don't you just let me go?
I'd really like to try
Oh, I'd really love to know
When you tell me you're gonna regret it
Then I tell you that I love you but you still say NO!

I swear I won't tease you won't tell you no lies

Yeah
I don't need no bible just look in my eyes

Oooo
I've waited so long baby out in the cold

I can't take much more girl I'm loosing control

I want your sex
I want your love
...

******* This Lyrics is NOT for Commercial use *******"
Rob Zombie,Pussy Liquor,0,angry,"Earl had a baby
Baby was her name
He knew she was crazy
Tiny was the same
Down behind the shed
Slaughtering the hog
Slice it on the belly
Feed it to the dog

One, two, three, who should I kill?
Every motherfucker running up the hill
One, two, three, what should I do?
Get fucked up and fuck up you

Pussy liquor

Make ya sicker

Pussy liquor

Do it quicker

Yeah, I like to get fucked up, fucked up
Yeah, I like to get fucked up too
...

******* This Lyrics is NOT for Commercial use *******"
Bing Crosby,Swinging On A Star,1,happy,"Would you like to swing on a star
Carry moonbeams home in a jar
And be better off than you are
Or would you rather be a mule?

A mule is an animal with long funny ears
Kicks up at anything he hears
His back is brawny, but his brain is weak
He's just plain stupid with a stubborn streak

And by the way, if you hate to go to school
You may grow up to be a mule

Or would you like to swing on a star
Carry moonbeams home in a jar
...

******* This Lyrics is NOT for Commercial use *******"
Ludacris,Get Back,0,angry,"Heads up (woop, woop)
Heads up (woop, woop)
Here's another one
And a, and another one

Yeek, yeek (woop, woop) why you all in my ear?
Talkin' a whole bunch of shit that I ain't tryin' to hear
Get back motherfucker, you don't know me like that
(Get back motherfucker, you don't know me like that)

Yeek, yeek (woop, woop) I ain't playin' around
Make one false move I'll take ya down
Get back motherfucker, you don't know me like that
(Get back motherfucker, you don't know me like that)

(Woo!)
S-s-so come on, come on
Don't get swung on, swung on
It's the knick-knack paddywhack, still ridin' Cadillacs
Family off the street made my homies put the baggies back
Still stackin' plaques (yep)
Still action packed (yep)
And dough, I keep it flippin' like acrobats
That's why I pack a mac, that'll crack 'em back
'Cause on my waist there's more heat than the Shaq attack

But I ain't speakin' about ballin', ballin'
Just thinkin' about brawlin' 'til y'all start bawlin'
We all in together now, birds of a feather now
Just bought a plane so we changin' the weather now
So put your brakes on, caps put your capes on
Or knock off your block, get dropped and have your face flown
'Cause I'll prove it, scratch off the music
Like, ""Hey, little stupid, don't make me lose it""

Yeek, yeek (woop, woop) why you all in my ear?
Talkin' a whole bunch of shit that I ain't tryin' to hear
Get back motherfucker, you don't know me like that
(Get back motherfucker, you don't know me like that)

...

******* This Lyrics is NOT for Commercial use *******"
Hole,Violet,0,angry,"And the sky was made of amethyst
And all the stars look just like little fish
You should learn when to go
You should learn how to say no

Might last a day
Mine is forever
Might last a day
Mine is forever

When they get what they want
They never want it again
When they get what they want
They never want it again

Go on, take everything
Take everything I want you to
Go on, take everything
Take everything I want you to

...

******* This Lyrics is NOT for Commercial use *******"
Manic Street Preachers,Ifwhiteamericatoldthetruthforonedayit'sworldwouldfallapart,0,angry,"Next Thursday you're invited to watch Rising Tide's live coverage
of a gala tribute
in salute to Ronald Reagan.
Host Haley Barbour joins special guest lady Margaret Thatcher
in celebrating the former president's 83 birthday.
Ticket's are 1000 Dollars a plate but you can see the event free on GOP TV
Images of perfection, suntan and napalm
Grenada - haiti - poland - nicaragua
Who shall we choose for our morality?
I'm thinking right now of hollywood tragedy
Big mac: smack: phoenix r: please smile y'all
Cuba, mexico can't cauterize our discipline
Your idols speak so much of the abyss
Yet your morals only run as deep as the surface

...

******* This Lyrics is NOT for Commercial use *******"
Emerson Hart,If You're Gonna Leave,3,sad,"Maybe I'm the joker
Maybe I'm the fool in your eyes
Maybe I'm the weak one
Maybe I'm a lie in disguise
Maybe I'm angry
Cause I'm the one whose always wrong
Maybe I'm not the one whose so strong
But did you think about it
Did you pull it in and pull out
Could you live without me
Did you ever really have a doubt
But do you understand it baby
When you say it's over it's done
Maybe I'm not the one

So If you're gonna Leave
Yeah you better get going
Cause I ain't wasting no more time
What you did and what you didn't
...

******* This Lyrics is NOT for Commercial use *******"
Megadeth,Architecture of Aggression,0,angry,"Born from the dark in the black cloak of night
To envelop its prey below, deliver to the light
To eliminate your enemy, hit them in their sleep
And when all is won and lost, the spoils of wars are yours to keep

Great nations built from the bones of the dead
With mud and straw; blood and sweat
You know your worth when your enemies
Praise your architecture of aggression

Praise your architecture of aggression

...

******* This Lyrics is NOT for Commercial use *******"
Blondie,Heart of Glass,1,happy,"Once I had a love and it was a gas
Soon turned out had a heart of glass
Seemed like the real thing, only to find
Mucho mistrust, love's gone behind

Once I had a love and it was divine
Soon found out I was losing my mind
It seemed like the real thing, but I was so blind
Mucho mistrust, love's gone behind

In between, what I find is pleasing and I'm feeling fine
Love is so confusing, there's no peace of mind
If I fear I'm losing you
...

******* This Lyrics is NOT for Commercial use *******"
The Clientele,Impossible,2,relaxed,"Impossible, raw women
I know you're all too hard to please
I can help you
If you only ask me kindly
Don't make me get down on my knees
God bless these hungry women
Impossible to ever keep
Your breath has never tasted as sweet

I don't need you to need me, to need my freedom
...

******* This Lyrics is NOT for Commercial use *******"
