lyrics,mood,embedding,reduced_embedding
thing guess thing know boy trust girl little thing hide little thing show sometimes think going get way go swear tease tell lie yeah need bible look eye waited long baby friend man got patience mine end want sex want love want sex want sex playing mind dancing soul taken much time let go would really like try oh would really love know tell going regret tell love still say swear tease tell lie yeah need bible look eye room waited long baby cold take much girl looking control want sex want love,1,"[-0.00764936 -0.00714602  0.0047883  ... -0.01896775  0.02234539
 -0.03706129]","[-0.08592062333815864, 0.16292257544119337, -0.09977126391669107, -0.06172244925885781, 0.008306428431362459, -0.017392086403862812, 0.0007929999943410396, 0.01431687153793598, -0.04949005378774057, -0.028030933112896818, -0.06079014872104185, 0.0928365695496485, -0.027359097801278064, 0.04419572099790108, -0.027564321792901234, -0.01617550878798141, 0.020579461330329868, 0.007447779250031527, 0.0021589962022396975, -0.0237562971378449, -0.028345320406885307, 0.005607240610248694, 0.019471231106241233, 0.017992117070052178, -0.01140356456900215, -0.004058728150013923, -0.03243833008765929, -0.02661032887770459, 0.030779484615180822, 0.0232832121161398, -0.021218302232417805, 0.013636094584220094, -0.008704872857961765, 0.1033245397458587, 0.025176529451566395, 0.044733584648650855, -0.003818999185254996, -0.009096871514036245, 0.041357313847825844, 0.03940070050254153, 0.02547825728270162, -0.012789437935679139, 0.053642211444624235, -0.004369000097717067, 0.013921415808181719, -0.04456262003276417, -0.012287459759688115, -0.024516208443638526, 0.014882516669968206, -0.02778332961454832]"
karl baby baby name knew crazy tiny behind would slaughtering alice belly need dog one two three kill motherfucker running hill one two three met tucked fuck hussy liquor take wicker hussy liquor quicker yeah like get tucked tucked yeah like get tucked,0,"[-0.01274323  0.00663161  0.01765194 ... -0.02254678  0.00289288
  0.01087126]","[0.11986719950365447, 0.11720341073901816, 0.05244756982401631, -0.024827027863212923, 0.026984844355340765, -0.10005961937247088, 0.06359917081506525, 0.07236741327867685, -0.002208596839410851, -0.019670319026655298, -0.024452350713482212, -0.026254085046538925, -0.06891432112699274, 0.05368289870085761, 0.013002510244927063, -0.01098731519468676, 0.002672057708090862, -0.0574311296262521, -0.0009588104865977349, 0.010828304444890647, 0.020414649474896372, 0.049019017471867855, -0.011255699241086234, -0.023216639480486117, 0.06244881516049465, 0.008697068554551997, 0.05784658802998349, 0.00455965382981585, -0.015007056718971606, 0.027022344059773606, -0.02833541511233598, -0.021871888518707992, -0.014358650211536915, 0.007251130202873139, 0.04957290014639654, 0.01491190188366749, 0.01852585650960571, 0.03322683266369027, 0.022693889458943205, -0.058071210064773914, 0.047968422600148435, 0.03311799889020381, -0.010637289573274335, -0.008570917803959705, 0.007460484199543184, 0.028508712962865106, -0.04083815584121084, 0.008113670416029214, -0.040540234103095735, -0.01587412430616582]"
would like swing star carry moonbeam home jar better would rather mule mule animal long funny ear lick anything hears back brawny brain weak plain stupid stubborn streak way hate go school may grow mule would like swing star carry moonbeam home jar,1,"[-0.02450078 -0.00208998 -0.00594868 ... -0.01263873 -0.00617815
 -0.03589681]","[0.045558525297281695, 0.05582603804480565, 0.09740194202239318, 0.028542894707845552, 0.03726290897770763, -0.04218789160979967, -0.03879267156624028, -0.000294307820916025, -0.04274737462671893, 0.015711526158313886, 0.01920866353979852, 0.05318287843690208, 0.00581377953875767, 0.011283885033733605, 0.014239161959329338, -0.022150713045012926, 0.1266683458486713, 0.01240664051994803, -0.0609181088813615, 0.022424638336727334, -0.07519856692259878, -0.05736877765074657, -0.10071985771870606, -0.024423995849755104, 0.04105921320227464, 0.017118783277546023, -0.06431611913739345, 0.006868250663337019, -0.053165047726693095, 0.02063312976665342, -0.05540196788139032, -0.020391484740076585, 0.008450905288622183, 0.00458574920511586, -0.04740831837849702, 0.042022896429346895, -0.010247022445982079, 0.006700334907250196, -0.025970941339730335, 0.004646110244764685, 0.029309738583256202, -0.019551578452657117, -0.021966131333669446, 0.007972245554200487, -0.028338511350742585, 0.05179921910318526, -0.026058899497806046, -0.04064009486315803, 0.03016840278865606, -0.035401546500150365]"
head wood wood head wood wood another one another one week week wood wood ear talking whole bunch shit trying hear met back motherfucker know like met back motherfucker know like week week wood wood plain around take one false move take met back motherfucker know like met back motherfucker know like ssso come come get swung swung knockknack paddywhack still riding cadillacs family street made home put maggie back still stain place yep still action packed yep dough keep slipping like croat pack mac crack back waist heat attack speaking ball ball must thinking brain til start berlin together bird feather must bought plane changing weather put rake cap put case knock block get dropped face flown prove scratch music like key little stupid make lose week week wood wood ear talking whole bunch shit trying hear met back motherfucker know like met back motherfucker know like,0,"[-0.02201814 -0.00607799  0.00558008 ... -0.00189379 -0.0081452
 -0.02634485]","[0.0656264676357336, 0.12411173980145608, 0.05089415967268905, 0.07440999801398503, -0.0742543225964146, 0.027541744872496405, 0.01893934603095462, 0.04981367361524737, -0.04033708564169249, 0.005734647923003154, 0.07769560648194863, 0.04077131215784475, -0.041883393690316725, 0.0312787887406687, -0.0005731588327127806, -0.0005219125202966277, 0.009162519313261577, -0.0665656254036094, 0.014401074578923995, 0.006095724225605359, -0.03569590968962103, 0.010124319610761013, -0.03372974637759997, 0.03626140196224098, -0.0045300808763306544, -0.019679658388316083, 0.0025645792071077173, 0.008803982281481241, -0.0289155599550799, 0.0029602389796090575, 0.06737111527558338, 0.02578004020864569, -0.0370637075868425, -0.01201346153997249, -0.0006032521093648503, 0.004456958373448503, 0.02309984972614257, -0.02804778086684304, -0.03070557460266308, -0.03128898877316654, -0.03200774515818089, 0.02854949799723475, -0.0059151198311359, -0.008629193387318528, 0.03355047102111018, -0.0012382788791673494, -0.05760048229817853, -0.012587379355464265, -0.017667052191719664, -0.00971916451754185]"
sky made amethyst star look like little fish learn go learn say right last day line forever right last day line forever get want never want get want never want take everything take everything want take everything take everything want,0,"[-0.00709945  0.00231141  0.02193881 ... -0.01034258 -0.01346307
 -0.03602871]","[-0.04930201110777289, 0.0026981240065438753, 0.03500961845305799, -0.018279143595320315, 0.007436964242338044, 0.08339758218550809, -0.040705738670876554, -0.008315809282677972, -0.057343238985015144, -0.05133810522475975, -0.025955638052408674, -0.04353977421476717, 0.012797101764642507, -0.028175378767201036, 0.04522425306460793, -0.10508970420244404, 0.06966132852016636, -0.00839089838472234, -0.015997772225494564, 0.045943254801232083, -0.05423317231594904, -0.07149638701968472, -0.01606551828285872, 0.030124039672333052, 0.02877163133698982, -0.015893055042086903, 0.005176671524799682, 0.046493317925745604, -0.01844593529538419, -0.006094721982438128, -0.018467342032897915, -0.03792081485206278, 0.02849316218779861, 0.03507714881841592, 0.00488818763280484, 0.023863554616554875, -0.022131808148712143, 0.026633361577835912, -0.0045558029879328105, -0.013859471953598327, 0.027235762827705724, 0.051432908687426705, 0.026935347657392635, -0.03097507983572143, -0.00013743187001507418, -0.03652285825438203, 0.02383027194410731, -0.011871053283240203, 0.04560990393879131, 0.006257452326434855]"
next thursday invited watch rising side live coverage gale tribute salute donald began pale harbour join special guest lady margaret thatched celebrating former president birthday picket dollar plate see event free gop image perfection sultan naval grenade haiti poland nicaragua shall choose morality thinking right hollywood tragedy fig mac smack phoenix r please smile cuba mexico cauterise discipline idol speak much abyss met moral run deep surface,0,"[-0.0331893  -0.01903972  0.01830186 ... -0.00065964  0.00504929
 -0.01120537]","[0.12575201917921588, -0.01217014154884914, 0.07527059980742272, 0.024452316425241132, 0.0914495231678573, 0.05546817105265481, 0.038400587861387794, -0.04204086750119298, 0.021593411356860836, -0.04181866806809589, 0.006144028688964334, -0.030446059014299358, -0.03158961826361924, -0.13400311965070297, 0.012460984853257683, -0.013221636321253458, -0.026162370814445234, -0.04402493059279361, 0.013748773773692508, -0.011386894499589007, 0.03617883361716537, -0.018415219508367418, 0.06127274123564964, -0.006013329800422537, -0.04460457282742926, -0.025603910194351553, -0.001477110962362619, -0.005089065279029433, 0.0024390561463305256, 0.02040994277576966, -0.028280589985140235, -0.07430550421239605, 0.022626236470017342, -0.0667324464125513, 0.001129533154405479, 0.013314954810864064, 0.04116477773405311, -0.03842525582211618, 0.02841365169417851, 0.0007738129727001158, 0.004233911754120386, -0.021662457608720764, -0.035198160232572946, -0.008809540783378766, -0.03609102449761425, 0.001463710713967066, 0.03647665255714831, 0.021992648424883507, 0.02646917756473143, 0.04228723097451147]"
maybe joke maybe fool eye maybe weak one maybe lie disguise maybe angry one whose always wrong maybe one whose strong think pull pull would live without ever really doubt understand baby say done maybe one going leave yeah better get going wasting time,3,"[-0.02197467 -0.00324657 -0.00105414 ... -0.00875933  0.00782232
 -0.02436231]","[-0.01871971667626353, 0.08894848989208068, -0.08218187206605165, 0.058066201102089036, 0.03055886762866973, -0.011129163519455625, -0.08881750417003952, 0.05592708642558254, -0.08832684628812845, -0.037344393304105654, 0.006013121662435885, 0.0327872242464936, -0.016594860232204356, 0.02357499687305743, 0.046918264034964116, -0.05599735628767829, 0.002996669709074585, 0.061210782602741515, -0.06864252103290304, 0.002085013765493675, 0.0006693599891708622, 0.029258724518439742, -0.0355208163504253, -0.03645825996384019, 0.02517097380924592, 0.018769768918424395, 0.00789853178784599, -0.005906105620210598, 0.042525621973155306, 0.04993785365115299, -0.07017443302521624, -0.00521051484782139, -0.017261133047654382, 0.010582386214905284, -0.01962445502612959, -0.0047457095970313565, -0.023928429219720028, 0.02466538566445985, -0.00023584912151108786, 0.004727062258864643, 0.004930456462973694, -0.009259997179609243, -0.00696278855686889, 0.004963244429301808, 0.017756486316462216, -0.025769483676402992, -0.0652003641195041, -0.02517691873662518, -0.02540229967810478, -0.02348860074435352]"
worn dark black cloak night envelope prey deliver light eliminate enemy hit sleep lost spoil war keep great nation built bone dead mud straw blood sweat know worth enemy raise architecture aggression raise architecture aggression,0,"[-0.001527   -0.01750727  0.00787408 ... -0.0073645   0.0061429
 -0.02207256]","[0.1665849186119086, -0.09873238900552878, 0.004379331607867129, -0.042372811561003594, 0.043825988513278596, 0.004508631199550072, -0.029233683425968042, -0.020186733225505828, 0.008761379397911493, 0.005068735834246749, -0.07642889081859428, 0.03868657653841216, -0.06880476394675858, -0.022368016213000455, 0.06464537083647678, 0.013557939737675734, 0.035189084935475665, 0.01325948992200363, 0.02677643401189266, -0.050272285680277605, -0.046024440167119596, 0.08293029946245564, -0.022493021353819358, -0.035849568703540925, -0.07450048218272769, 0.007676043943387118, 0.023357610938625838, 0.01694203182949122, -0.01091798216549331, -0.03249487273852062, 0.06168162006451694, -0.041756340359325565, 0.013224226872640372, -0.027895751154145984, 0.03118483239074135, -0.0012494818882175537, 0.007516138932210943, -0.002707900488914263, -0.0712211552440339, 0.041859697084167445, 0.03345299044837805, 0.007916422529741734, 0.009209074689915166, 0.009749011162640958, -0.0004200627525153204, -0.015916079999010648, 0.009294939549077116, -0.048596054012626774, -0.029147079414230656, -0.0035628944064283624]"
love gas soon turned heart glass seemed like real thing find distrust love gone behind love divine soon found losing mind seemed like real thing blind distrust love gone behind find pleasing feeling fine love confusing peace mind fear losing,1,"[-0.00222139 -0.00017864  0.01679288 ... -0.01372234  0.01130395
 -0.0248089 ]","[-0.04855610809888502, -0.04295958401649567, -0.11654770322089586, -0.052831851044175204, -0.021400786067382202, -0.031692907200387095, 0.008128584538327415, -0.07553409885528786, -0.07062772639537954, 0.030959695194274564, 0.04475647234589344, -0.0450079846279323, 0.006042326652034241, 0.03333997133975705, -0.05389056104122359, -0.0020604267772500614, -0.036509970546559446, -0.011693010786100404, -0.03612138094987462, -0.014445669980257175, -0.003494742696304123, 0.009986495991640386, 0.01967671562170631, -0.06273880946190337, -0.042829167111282374, 0.07660276793170803, 0.005451572666894766, 0.0008517223093779894, 0.015609978744382741, -0.02623955568620897, -0.008035388726423004, 0.030291174498344016, -0.03570599234718701, -0.0008437113737703075, -0.03610315342021436, -0.044543309033870784, -0.012631308956646131, -0.044494308354438926, -0.011983001771605795, 0.012855171690421243, 0.043454863106911226, 0.005559309197298483, -0.007896875227580768, -0.029910415284759052, -0.03512130189025309, -0.023871494631224097, -0.03663476747799214, -0.01237800992813354, 0.018597008707394915, -0.01779203521320593]"
impossible raw woman know hard please help ask kindly make get knee god bless hungry woman impossible ever keep breath never tasted sweet need need need freedom,2,"[-0.01515563 -0.02052181 -0.02537494 ...  0.01718008  0.01433753
 -0.00748075]","[0.04970923399103679, 0.06010073122933546, -0.08761629338650806, -0.08753039698598883, 0.06849467868012316, 0.008219923268031311, -0.014452207998130179, -0.030471112946854246, 0.04437608835864703, 0.05581352705145584, -0.06641899951703947, 0.012256378007262524, 0.021521474373119666, 0.023646783472785416, -0.05508094087746728, 0.02526794516688217, 0.0894817411202308, -0.05743918463511711, 0.030294390307774942, 0.005991735120119514, -0.007608899782771973, -0.08716862863454271, 0.009913185992253723, 0.058227279930421476, -0.025464834276044967, -0.05161872456232352, -0.0011113961211580094, 0.011672084997347454, -0.024313099276887944, -0.011281176261792173, -0.03255587175803092, 0.003770106621472519, -0.0003160192794175396, -0.0013450334886501607, 0.026379741823644873, -0.029694954463001733, -0.008454742148747476, 0.0624775744631941, 0.043680197425516126, -0.03623193267407216, 0.008482220828545333, 0.028912182035927474, 0.05453650339982105, 0.08232153457272794, -0.05774232348331933, 0.018580193347611376, -0.007284121491965154, 0.029160327057171344, 0.0029507058166308407, -0.010928705591966662]"
