artist,title,mood,original_mood,lyrics,word_count,avg_word_length
George Michael,I Want Your Sex,1,happy,"Theres things that you guess
And things that you know
Theres boys that you can trust
And girls that you dont
Theres little things you hide
And little things that you show
Sometimes you think youre gonna get it
But you dont and thats just the way it goes

I swear I wont tease you wont tell you no lies

Yeah
I dont need no bible just look in my eyes

Ive waited so long baby now that were friends

Every mans got his patience and heres where mine ends

I want your sex
I want your love
I want your sex
I want your sex

Its playing on my mind
Its dancing on my soul
Its taken so much time
So why dont you just let me go
Id really like to try
Oh Id really love to know
When you tell me youre gonna regret it
Then I tell you that I love you but you still say NO

I swear I wont tease you wont tell you no lies

Yeah
I dont need no bible just look in my eyes

Oooo
Ive waited so long baby out in the cold

I cant take much more girl Im loosing control

I want your sex
I want your love
",210,3.623809523809524
Rob Zombie,Pussy Liquor,0,angry,"Earl had a baby
Baby was her name
He knew she was crazy
Tiny was the same
Down behind the shed
Slaughtering the hog
Slice it on the belly
Feed it to the dog

One two three who should I kill
Every motherfucker running up the hill
One two three what should I do
Get fucked up and fuck up you

Pussy liquor

Make ya sicker

Pussy liquor

Do it quicker

Yeah I like to get fucked up fucked up
Yeah I like to get fucked up too
",88,3.727272727272727
Bing Crosby,Swinging On A Star,1,happy,"Would you like to swing on a star
Carry moonbeams home in a jar
And be better off than you are
Or would you rather be a mule

A mule is an animal with long funny ears
Kicks up at anything he hears
His back is brawny but his brain is weak
Hes just plain stupid with a stubborn streak

And by the way if you hate to go to school
You may grow up to be a mule

Or would you like to swing on a star
Carry moonbeams home in a jar
",94,3.478723404255319
Ludacris,Get Back,0,angry,"Heads up woop woop
Heads up woop woop
Heres another one
And a and another one

Yeek yeek woop woop why you all in my ear
Talkin a whole bunch of shit that I aint tryin to hear
Get back motherfucker you dont know me like that
Get back motherfucker you dont know me like that

Yeek yeek woop woop I aint playin around
Make one false move Ill take ya down
Get back motherfucker you dont know me like that
Get back motherfucker you dont know me like that

Woo
Ssso come on come on
Dont get swung on swung on
Its the knickknack paddywhack still ridin Cadillacs
Family off the street made my homies put the baggies back
Still stackin plaques yep
Still action packed yep
And dough I keep it flippin like acrobats
Thats why I pack a mac thatll crack em back
Cause on my waist theres more heat than the Shaq attack

But I aint speakin about ballin ballin
Just thinkin about brawlin til yall start bawlin
We all in together now birds of a feather now
Just bought a plane so we changin the weather now
So put your brakes on caps put your capes on
Or knock off your block get dropped and have your face flown
Cause Ill prove it scratch off the music
Like Hey little stupid dont make me lose it

Yeek yeek woop woop why you all in my ear
Talkin a whole bunch of shit that I aint tryin to hear
Get back motherfucker you dont know me like that
Get back motherfucker you dont know me like that

",271,4.0664206642066425
Hole,Violet,0,angry,"And the sky was made of amethyst
And all the stars look just like little fish
You should learn when to go
You should learn how to say no

Might last a day
Mine is forever
Might last a day
Mine is forever

When they get what they want
They never want it again
When they get what they want
They never want it again

Go on take everything
Take everything I want you to
Go on take everything
Take everything I want you to

",85,3.8823529411764706
Manic Street Preachers,Ifwhiteamericatoldthetruthforonedayit'sworldwouldfallapart,0,angry,"Next Thursday youre invited to watch Rising Tides live coverage
of a gala tribute
in salute to Ronald Reagan
Host Haley Barbour joins special guest lady Margaret Thatcher
in celebrating the former presidents 83 birthday
Tickets are 1000 Dollars a plate but you can see the event free on GOP TV
Images of perfection suntan and napalm
Grenada  haiti  poland  nicaragua
Who shall we choose for our morality
Im thinking right now of hollywood tragedy
Big mac smack phoenix r please smile yall
Cuba mexico cant cauterize our discipline
Your idols speak so much of the abyss
Yet your morals only run as deep as the surface

",107,4.738317757009346
Emerson Hart,If You're Gonna Leave,3,sad,"Maybe Im the joker
Maybe Im the fool in your eyes
Maybe Im the weak one
Maybe Im a lie in disguise
Maybe Im angry
Cause Im the one whose always wrong
Maybe Im not the one whose so strong
But did you think about it
Did you pull it in and pull out
Could you live without me
Did you ever really have a doubt
But do you understand it baby
When you say its over its done
Maybe Im not the one

So If youre gonna Leave
Yeah you better get going
Cause I aint wasting no more time
What you did and what you didnt
",108,3.6574074074074074
Megadeth,Architecture of Aggression,0,angry,"Born from the dark in the black cloak of night
To envelop its prey below deliver to the light
To eliminate your enemy hit them in their sleep
And when all is won and lost the spoils of wars are yours to keep

Great nations built from the bones of the dead
With mud and straw blood and sweat
You know your worth when your enemies
Praise your architecture of aggression

Praise your architecture of aggression

",76,4.342105263157895
Blondie,Heart of Glass,1,happy,"Once I had a love and it was a gas
Soon turned out had a heart of glass
Seemed like the real thing only to find
Mucho mistrust loves gone behind

Once I had a love and it was divine
Soon found out I was losing my mind
It seemed like the real thing but I was so blind
Mucho mistrust loves gone behind

In between what I find is pleasing and Im feeling fine
Love is so confusing theres no peace of mind
If I fear Im losing you
",90,3.7
The Clientele,Impossible,2,relaxed,"Impossible raw women
I know youre all too hard to please
I can help you
If you only ask me kindly
Dont make me get down on my knees
God bless these hungry women
Impossible to ever keep
Your breath has never tasted as sweet

I dont need you to need me to need my freedom
",56,3.8035714285714284
The Tallest Man on Earth,Love Is All,3,sad,"Well I walk upon the river like its easier than land
Evils in my pocket and your will is in my hand
Oh your will is in my hand

And Ill throw it in the current that I stand upon so still
Love is all from what Ive heard but my hearts learned to kill
Oh mine has learned to kill

Oh I said I could rise
From the harness of our goals
Here come the tears
But like always I let them go
Just let them go

",88,3.5
Garbage,Silence Is Golden,0,angry,"If I am silent
Then I am not real
If I speak up then
No one will hear
If I wear a mask theres
Somewhere to hide

Silence is golden
I have been broken
Safe in my own skin
So nobody wins

If I raise my voice
Will someone get hurt
And if I cant feel
Then I wont get touched
If no truth is spoken
Then no lies can hide

Silence is golden
",74,3.472972972972973
Van Morrison,And It Stoned Me,2,relaxed,"Half a mile from the county fair
And the rain came pouring down
Me and Billy standing there
With a silver half a crown
Hands are full of the fishing rod
And the tackle on our backs
We just stood there getting wet
With our backs against the fence

Oh the water
Oh the water
Oh the water
Hope it dont rain all day

And it stoned me to my soul
Stoned me just like Jelly Roll
And it stoned me
And it stoned me to my soul
Stoned me just like going home
And it stoned me

And the rain let up and the sun came up
While we were getting dry
",113,3.6814159292035398
The Proclaimers,I'm On My Way,1,happy,"Im on my way from misery to happiness today
Im on my way from misery to happiness today

Im on my way to what I want from this world
And years from now youll make it to the next world
And everything that you receive up yonder
Is what you gave to me the day I wandered

I took a right I took a right turning yesterday

I took a right I took a right turning yesterday

I took the road that brought me to your hometown
I took the bus to streets that I could walk down

I walked the streets to find the one Id looked for
I climbed the stair that led me to your front door
",120,3.691666666666667
50 Cent,My Gun Go Off,0,angry,"Nigga my gun go off

You see the barrell turnin
You feel the hollows burnin
Nigga now you learnin
Nigga my gun go off

Call it attempted murder
Nigga Im tryin to merk ya
When I come back bustin
Nigga my gun go off

Dont try to say Im trippin
When I get to flippin
Then I smack the clip in
Nigga my gun go off

We call it putting work in
Leavin niggas hurtin
Homocides learkin
Nigga my gun go off

Fuck Boy you can see it to believe it
Tryna dodge and wave it end up a parapelegic
Believe me its easy
Ill hurt you Ill merk you Ill pop summin
Drop summin I aint gonna stop hunting
Run run till youre spun
One shot One gun
One9
11 emergency
Its murder B
Its excellent execution when Im pulling the trigger
No mistake for that cake
Im hittin you and your niggas
Feel the flame when I aim
For the top of your brain
See the spark and the bang
Nigga shit aint a game
Do the math or get blast
",183,3.808743169398907
